#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.851755917062911e-13
-4.90928068757e-05 , 2.04342836865e-12
0.00188538129441 , 1.41707520829e-11
0.00382286543027 , 2.62980757973e-11
0.00576335936785 , 3.84253995115e-11
0.00770686310716 , 5.05527232258e-11
0.00965337688103 , 6.268004694e-11
0.0116029002238 , 7.48073706542e-11
0.0135554336011 , 8.69346943685e-11
0.5 , 2.64e-09
1.0 , 4.704e-09
1.35 , 5.976e-09
2.0 , 8.016e-09
2.5 , 9.432e-09
3.0 , 1.0728e-08
3.5 , 1.1952e-08
4.0 , 1.308e-08
