#delta(loglike), fluxes [ph/cm^2/s]
-0.00010511581786 , 1.72245558493e-10
0.00156238628551 , 2.17389890171e-10
0.00327696464956 , 2.62534221847e-10
0.0050386171788 , 3.07678553525e-10
0.00684734387323 , 3.52822885202e-10
0.00870314217173 , 3.9796721688e-10
0.0106060109101 , 4.43111548558e-10
0.0125559493899 , 4.88255880235e-10
0.5 , 5.208e-09
1.0 , 7.752e-09
1.35 , 9.192e-09
2.0 , 1.1424e-08
2.5 , 1.2888e-08
3.0 , 1.4232e-08
3.5 , 1.548e-08
4.0 , 1.6632e-08
