#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 8.547936345550394e-14
-0.012026000011247 , 5.31219905949e-13
-0.006939477054407 , 2.49958124623e-11
-0.0015026752953470005 , 4.94604050187e-11
0.0042843336705530016 , 7.39249975751e-11
0.010421478247752998 , 9.83895901315e-11
0.016908686840953 , 1.22854182688e-10
0.023745888029253003 , 1.47318775244e-10
0.030933010217253004 , 1.71783367801e-10
0.487973999988753 , 9.86e-10
0.987973999988753 , 1.5e-09
1.337973999988753 , 1.78e-09
1.987973999988753 , 2.23e-09
2.487973999988753 , 2.52e-09
2.987973999988753 , 2.79e-09
3.487973999988753 , 3.04e-09
3.987973999988753 , 3.27e-09
