#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 7.60172273668414e-15
-0.0199452755473612 , 8.52806719012e-14
-0.0187288079501 , 3.06117649273e-13
-0.01751174230551 , 5.26954626644e-13
-0.016294078631760002 , 7.47791604016e-13
-0.015075816939790002 , 9.68628581388e-13
-0.01385695724777 , 1.18946555876e-12
-0.01263749956663 , 1.41030253613e-12
-0.01141744392182 , 1.6311395135e-12
0.48 , 8.26e-11
0.98 , 1.53e-10
1.33 , 1.98e-10
1.98 , 2.73e-10
2.48 , 3.26e-10
2.98 , 3.76e-10
3.48 , 4.22e-10
3.98 , 4.67e-10
