#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.4460920919196864e-11
-0.2600004890971468 , 1.36508545807e-09
-0.25958492879523 , 1.38126451772e-09
-0.25769994273811003 , 1.39744357737e-09
-0.25434672845382 , 1.41362263701e-09
-0.2495264818042 , 1.42980169666e-09
-0.2432403970358 , 1.44598075631e-09
-0.2354896667364 , 1.46215981596e-09
-0.2262754818637 , 1.47833887561e-09
0.24 , 1.78e-09
0.74 , 1.95e-09
1.09 , 2.05e-09
1.74 , 2.19e-09
2.24 , 2.29e-09
2.74 , 2.38e-09
3.24 , 2.46e-09
3.74 , 2.54e-09
