#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.984354563246491e-10
-0.6200123759673443 , 2.29753632669e-09
-0.619763176354463 , 2.30330332532e-09
-0.619053205359814 , 2.30907032395e-09
-0.61788279188942 , 2.31483732258e-09
-0.61625226445278 , 2.32060432121e-09
-0.6141619511701 , 2.32637131984e-09
-0.61161217976507 , 2.33213831848e-09
-0.6086032775757 , 2.33790531711e-09
-0.12 , 2.56e-09
0.38 , 2.67e-09
0.7300000000000001 , 2.73e-09
1.38 , 2.82e-09
1.88 , 2.89e-09
2.38 , 2.94e-09
2.88 , 3e-09
3.38 , 3.05e-09
