#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.9424504285695466e-10
-0.76 , 1.911002619e-09
-0.75868622175563 , 1.92713819475e-09
-0.7550127624542801 , 1.9432737705e-09
-0.7489827820516 , 1.95940934625e-09
-0.7405994333074 , 1.975544922e-09
-0.7298658618727 , 1.99168049775e-09
-0.7167852062391 , 2.0078160735e-09
-0.7013605978116 , 2.02395164925e-09
-0.26 , 2.24e-09
0.24 , 2.37e-09
0.5900000000000001 , 2.45e-09
1.24 , 2.56e-09
1.74 , 2.64e-09
2.24 , 2.71e-09
2.74 , 2.78e-09
3.24 , 2.84e-09
