#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 5.874680352649635e-13
-0.01 , 5.1772870392e-12
-0.00868084443733 , 7.50589400857e-12
-0.007359419998250001 , 9.83450097794e-12
-0.00603572656633 , 1.21631079473e-11
-0.00470976414159 , 1.44917149167e-11
-0.0033815326658100005 , 1.68203218861e-11
-0.0020510323718199996 , 1.91489288554e-11
-0.0007182632014200007 , 2.14775358248e-11
0.49 , 6.96e-10
0.99 , 1.2e-09
1.34 , 1.49e-09
1.99 , 1.97e-09
2.49 , 2.3e-09
2.99 , 2.6e-09
3.49 , 2.87e-09
3.99 , 3.13e-09
