#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.1830318391211138e-10
-0.23 , 7.17192187636e-09
-0.22664715555264 , 7.28315326437e-09
-0.21928341612920002 , 7.39438465239e-09
-0.20791020490690001 , 7.5056160404e-09
-0.19252894413190003 , 7.61684742841e-09
-0.17314105540980002 , 7.72807881643e-09
-0.14974795912390002 , 7.83931020444e-09
-0.12235107501700002 , 7.95054159246e-09
0.27 , 8.88e-09
0.77 , 9.58e-09
1.12 , 9.97e-09
1.77 , 1.06e-08
2.27 , 1.1e-08
2.77 , 1.13e-08
3.27 , 1.17e-08
3.77 , 1.2e-08
