#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.001549437455402e-10
-0.5100297793958453 , 1.4497145602e-09
-0.50813158885081 , 1.46453954552e-09
-0.50340706032672 , 1.47936453084e-09
-0.4958609437106 , 1.49418951616e-09
-0.4854979755162 , 1.50901450149e-09
-0.4723228789496 , 1.52383948681e-09
-0.4563403639602 , 1.53866447213e-09
-0.43755512729130003 , 1.55348945745e-09
-0.010000000000000009 , 1.72e-09
0.49 , 1.84e-09
0.8400000000000001 , 1.9e-09
1.49 , 2e-09
1.99 , 2.06e-09
2.49 , 2.12e-09
2.99 , 2.18e-09
3.49 , 2.23e-09
