#delta(loglike), fluxes [ph/cm^2/s]
-2.13069142774e-05 , 7.43659602454e-10
0.000872081451234 , 7.51096198478e-10
0.00304312998924 , 7.58532794503e-10
0.00648805810488 , 7.65969390527e-10
0.0112031094104 , 7.73405986552e-10
0.0171845515069 , 7.80842582577e-10
0.0244286757516 , 7.88279178601e-10
0.0329317969954 , 7.95715774626e-10
0.5000, 9.49e-10 
1.0000, 1.04e-09 
1.3500, 1.08e-09 
2.0000, 1.16e-09 
2.5000, 1.21e-09 
3.0000, 1.26e-09 
3.5000, 1.30e-09 
4.0000, 1.34e-09 
